DateKey,Date,Year,Quarter,Month,DayOfWeek
20240102,1/2/24,2024,Q1,January,Sunday
20240201,2/1/24,2024,Q1,February,Thursday
20240202,2/2/24,2024,Q1,February,Friday
20240203,2/3/24,2024,Q1,February,Saturday
20240204,2/4/24,2024,Q1,February,Sunday
20240205,2/5/24,2024,Q1,February,Monday
20240206,2/6/24,2024,Q1,February,Sunday
20240602,6/2/24,2024,Q1,February,Tuesday
20240207,2/7/24,2024,Q1,February,Wednesday
20240208,2/8/24,2024,Q1,February,Sunday
20240802,8/2/24,2024,Q1,February,Thursday
20240209,2/9/24,2024,Q1,February,Friday
20240210,2/10/24,2024,Q1,February,Saturday
20240211,2/11/24,2024,Q1,February,Sunday
20240212,2/12/24,2024,Q1,February,Sunday
20240213,2/13/24,2024,Q1,February,Sunday
